emoji,description_en,description_es,description_pt
💂🏾,guard medium-dark skin tone,Guente de tono de piel de oscuridad mediana,Tom de pele de guarda-de-mar de guarda
💂🏼,guard medium-light skin tone,Guente de tono de piel de luz media,Tom de pele de luz de luz de guarda
💂🏽,guard medium skin tone,Guente de tono de piel mediana,Tom de pele de guarda de guarda
🦮,guide dog,perro guía,cão guia
🎸,guitar,guitarra,guitarra
🪮,hair pick,selección de cabello,picareta de cabelo
🍔,hamburger,hamburguesa,hamburger
🔨,hammer,martillo,martelo
⚒️,hammer and pick,martillo y selección,martelar e escolher
⚒,hammer and pick,martillo y selección,martelar e escolher
🛠️,hammer and wrench,martillo,martelo e chave
🛠,hammer and wrench,martillo,martelo e chave
🪬,hamsa,hamsa,Hamsa
🐹,hamster,hámster,hamster
🖐️,hand with fingers splayed,mano con los dedos extendidos,mão com dedos espalhados
🖐,hand with fingers splayed,mano con los dedos extendidos,mão com dedos espalhados
🖐🏿,hand with fingers splayed dark skin tone,mano con los dedos tono de piel oscura extendida,mão com dedos espalhados para o tom escuro
🖐🏻,hand with fingers splayed light skin tone,Mano con los dedos tono de piel claro extendido,mão com dedos com tom de pele clara espalhada
🖐🏾,hand with fingers splayed medium-dark skin tone,Mano con los dedos tono de piel de color medio oscuro extendido,mão com dedos espalhados com tom de pele média-escuro
🖐🏼,hand with fingers splayed medium-light skin tone,Mano con los dedos tono de piel de luz media extendida,mão com dedos espalhados com tom de pele média
🖐🏽,hand with fingers splayed medium skin tone,Mano con los dedos tono de piel mediana extendida,mão com dedos com tom de pele média espalhada
🫰,hand with index finger and thumb crossed,mano con dedo índice y pulgar cruzado,mão com dedo indicador e polegar cruzados
🫰🏿,hand with index finger and thumb crossed dark skin tone,Mano con tono de piel oscura con el dedo y el pulgar oscuro cruzado,mão com dedo indicador e polegar cruzado de pele escura
🫰🏻,hand with index finger and thumb crossed light skin tone,mano con tono de piel claro con dedo y pulgar con dedo y pulgar,mão com dedo indicador e polegar de pele cruzada
🫰🏾,hand with index finger and thumb crossed medium-dark skin tone,Mano con tono de piel de color medio-oscuridad de dedo y pulgar de dedo y pulgar,mão com dedo indicador e polegar cruzado de pele de média escura
🫰🏼,hand with index finger and thumb crossed medium-light skin tone,Mano con tono de piel de luz media cruzada y dedo índice y pulgar,Mão com dedo indicador e polegar cruzado com luz de luz média
🫰🏽,hand with index finger and thumb crossed medium skin tone,Mano con tono de piel mediana cruzada y dedo índice y pulgar,Mão com dedo indicador e polegar de pele cruzada cruzada
👜,handbag,bolso,bolsa
🤝,handshake,apretón de manos,aperto de mão
🤝🏿,handshake dark skin tone,Tono de piel oscura del apretón de manos,Tom de pele escura de aperto de mão
🫱🏿‍🫲🏻,handshake dark skin tone light skin tone,Tono de piel de piel oscura de apretón de manos tono de piel claro,Tom de pele de pele escura do aperto de mão Tom de pele clara
🫱🏿‍🫲🏾,handshake dark skin tone medium-dark skin tone,Tono de piel oscuro de la piel del apretón de manos tono de piel medio-oscuridad,Tom de pele escura do aperto de mão Tom de pele média escuro
🫱🏿‍🫲🏼,handshake dark skin tone medium-light skin tone,Tono de piel oscura de la piel del apretón de manos tono de piel de luz media,Tom de pele escura do tom de mão
🫱🏿‍🫲🏽,handshake dark skin tone medium skin tone,Tono de piel de piel oscura de apretón de manos tono de piel mediana,Tom de pele escura do aperto de mão Tom de pele média
🤝🏻,handshake light skin tone,tono de piel clara de apretón de manos,tom de pele clara do aperto de mão
🫱🏻‍🫲🏿,handshake light skin tone dark skin tone,Tono de piel de luz de luz de manos tono de piel oscura,tom de pele de handshake leve tom de pele escura
🫱🏻‍🫲🏾,handshake light skin tone medium-dark skin tone,Tono de piel de luz de luz de manos tono de piel medio-oscuridad,tom de pele de handshake leve tom de pele média escuro
🫱🏻‍🫲🏼,handshake light skin tone medium-light skin tone,tono de piel de piel clara de luz de mano tono de piel de luz media,tom de pele de handshake leve tom de pele média
🫱🏻‍🫲🏽,handshake light skin tone medium skin tone,Tono de piel de piel de luz de manos tono de piel mediana,tom de pele de handshake leve tom de pele média
🤝🏾,handshake medium-dark skin tone,tono de piel de color mediocre de manos de manos,Tom de pele média-escuro com aperto de mão
🫱🏾‍🫲🏿,handshake medium-dark skin tone dark skin tone,Tono de piel de piel de mano de manyshake tono de piel oscura,tom de handshake tonz de pele média escuro Tom escuro
🫱🏾‍🫲🏻,handshake medium-dark skin tone light skin tone,tono de piel de piel de color medio-apretón de manos tono de piel claro,Handshake de tomamento de pele média-escuro tom de pele leve
🫱🏾‍🫲🏼,handshake medium-dark skin tone medium-light skin tone,Tono de piel de la piel medio-acompañante del apretón de manos tono de piel de luz media,tom de handshake de toninho de pele média escuro Tom de luz média
🫱🏾‍🫲🏽,handshake medium-dark skin tone medium skin tone,Tono de piel de piel mediana y apretón de manos tono de piel mediana,tom de handshake de tomamento de pele média escuro
🤝🏼,handshake medium-light skin tone,tono de piel de luz media de apretón de manos,tom de pele de handshake
🫱🏼‍🫲🏿,handshake medium-light skin tone dark skin tone,Tono de piel de luz de luz de mano de apretón de manos tono de piel oscura,tom de handshake de luz de luz média tom de pele escura
🫱🏼‍🫲🏻,handshake medium-light skin tone light skin tone,apretón de manos tono de piel de piel mediana luz de piel clara,tom de handshake de luz de luz de luz média tom de pele leve
🫱🏼‍🫲🏾,handshake medium-light skin tone medium-dark skin tone,Tono de piel de piel de luz de mano de manos tono de piel medio-oscuridad,tom de handshake de luz de luz de luz média
🫱🏼‍🫲🏽,handshake medium-light skin tone medium skin tone,apretón de manos tono de piel de luz media,tom de handshake de luz de luz média tom de pele média
🤝🏽,handshake medium skin tone,tono de piel mediana de apretón de manos,tom de pele de handshake
🫱🏽‍🫲🏿,handshake medium skin tone dark skin tone,Tono de piel de piel mediana del apretón de manos tono de piel oscura,tom de pele de handshake de pele média de pele escura
🫱🏽‍🫲🏻,handshake medium skin tone light skin tone,tono de piel de piel mediana del apretón de manos tono de piel,tom de handshake de pele de pele média tom de pele leve
🫱🏽‍🫲🏾,handshake medium skin tone medium-dark skin tone,Tono de piel de piel mediana de manual,tom de handshake de pele média de pele média escura
🫱🏽‍🫲🏼,handshake medium skin tone medium-light skin tone,Tono de piel de piel mediana del apretón de manos tono de piel mediana,tom de handshake ton de pele média tom de luz média
🪉,harp,arpa,harpa
🐣,hatching chick,pollito,Chick de choque
🙂‍↔️,head shaking horizontally,Cabeza temblando horizontalmente,Cabeça tremendo horizontalmente
🙂‍↔,head shaking horizontally,Cabeza temblando horizontalmente,Cabeça tremendo horizontalmente
🙂‍↕️,head shaking vertically,Cabeza temblando verticalmente,Cabeça tremendo verticalmente
🙂‍↕,head shaking vertically,Cabeza temblando verticalmente,Cabeça tremendo verticalmente
🎧,headphone,auricular,fone de ouvido
🪦,headstone,lápida mortuoria,lápide
🧑‍⚕️,health worker,trabajador de la salud,Trabalhador de Saúde
🧑‍⚕,health worker,trabajador de la salud,Trabalhador de Saúde
🧑🏿‍⚕️,health worker dark skin tone,Tono de piel oscura del trabajador de la salud,Tom do Skin Skin Work Worker Dark
🧑🏿‍⚕,health worker dark skin tone,Tono de piel oscura del trabajador de la salud,Tom do Skin Skin Work Worker Dark
🧑🏻‍⚕️,health worker light skin tone,Tono de piel clara de los trabajadores de la salud,Tom de pele de saúde de saúde
🧑🏻‍⚕,health worker light skin tone,Tono de piel clara de los trabajadores de la salud,Tom de pele de saúde de saúde
🧑🏾‍⚕️,health worker medium-dark skin tone,trabajador de salud tono de piel medio-oscuridad,Tom de pele de médio escuro para trabalhadores de saúde
🧑🏾‍⚕,health worker medium-dark skin tone,trabajador de salud tono de piel medio-oscuridad,Tom de pele de médio escuro para trabalhadores de saúde
🧑🏼‍⚕️,health worker medium-light skin tone,trabajador de salud tono de piel de luz media,Tom de pele de saúde de saúde
🧑🏼‍⚕,health worker medium-light skin tone,trabajador de salud tono de piel de luz media,Tom de pele de saúde de saúde
🧑🏽‍⚕️,health worker medium skin tone,trabajador de salud tono de piel mediana,Tom de pele de saúde de saúde
🧑🏽‍⚕,health worker medium skin tone,trabajador de salud tono de piel mediana,Tom de pele de saúde de saúde
🙉,hear-no-evil monkey,oye-no-maldito mono,ouvido-não-Evil Monkey
💟,heart decoration,decoración del corazón,decoração cardíaca
❣️,heart exclamation,exclamación del corazón,Exclamação do coração
❣,heart exclamation,exclamación del corazón,Exclamação do coração
🫶,heart hands,manos del corazón,Mãos do coração
🫶🏿,heart hands dark skin tone,Manos del corazón tono de piel oscura,Tom de pele escura de mãos do coração
🫶🏻,heart hands light skin tone,manos del corazón tono de piel claro,Tom de pele leve de mãos de coração
🫶🏾,heart hands medium-dark skin tone,Manos de corazón tono de piel medio-oscuridad,Mãos do coração Tom de pele média-escuro
🫶🏼,heart hands medium-light skin tone,manos del corazón tono de piel de luz media,Tom de pele de luz de luzes do coração
🫶🏽,heart hands medium skin tone,manos del corazón tono de piel mediana,Tom de pele média de mãos do coração
❤️‍🔥,heart on fire,corazón en llamas,coração em chamas
❤‍🔥,heart on fire,corazón en llamas,coração em chamas
♥️,heart suit,traje de corazón,traje de coração
♥,heart suit,traje de corazón,traje de coração
💘,heart with arrow,Corazón con flecha,coração com flecha
💝,heart with ribbon,corazón con cinta,coração com fita
💲,heavy dollar sign,signo de dólar pesado,Sinal de dólar pesado
🟰,heavy equals sign,Heavy Equals Sign,Pesado é igual a sinal
🦔,hedgehog,erizo,ouriço
🚁,helicopter,helicóptero,helicóptero
🌿,herb,hierba,erva
🌺,hibiscus,hibisco,Hibisco
👠,high-heeled shoe,zapato de tacón alto,sapato de salto alto
🚄,high-speed train,tren de alta velocidad,trem de alta velocidade
⚡,high voltage,alto voltaje,alta tensão
🥾,hiking boot,arranque de senderismo,Boot de caminhada
🛕,hindu temple,templo hindú,Templo Hindu
🦛,hippopotamus,hipopótamo,Hipopótamo
🕳️,hole,agujero,buraco
🕳,hole,agujero,buraco
⭕,hollow red circle,círculo rojo hueco,Círculo vermelho oco
🍯,honey pot,bote de miel,Pote de mel
🐝,honeybee,honeybee,HoneyBee
🪝,hook,gancho,gancho
🚥,horizontal traffic light,semáforo horizontal,semáforo horizontal
🐎,horse,caballo,cavalo
🐴,horse face,cara de caballo,rosto de cavalo
🏇,horse racing,carreras de caballos,Corrida de cavalos
🏇🏿,horse racing dark skin tone,Tono de piel oscura de carreras de caballos,Tom de pele escura de corrida de cavalos
🏇🏻,horse racing light skin tone,tono de piel clara de carreras de caballos,Tom de pele leve para corridas de cavalos
🏇🏾,horse racing medium-dark skin tone,Tono de piel de color medio-oscuridad de carreras de caballos,Tom de pele de corrida de corrida de cavalos
🏇🏼,horse racing medium-light skin tone,Tono de piel de luz media de carreras de caballos,tom de pele de corrida de cavalos
🏇🏽,horse racing medium skin tone,tono de piel mediana de carreras de caballos,tom de pele de corrida de cavalos
🏥,hospital,hospital,hospital
☕,hot beverage,bebida caliente,bebida quente
🌭,hot dog,Hot dog,cachorro-quente
🥵,hot face,cara caliente,rosto quente
🌶️,hot pepper,pimiento picante,pimenta picante
🌶,hot pepper,pimiento picante,pimenta picante
♨️,hot springs,aguas termales,Hot Springs
♨,hot springs,aguas termales,Hot Springs
🏨,hotel,hotel,hotel
⌛,hourglass done,Hourglass hecho,ampulheta feita
⏳,hourglass not done,Hourglass no hecho,ampulheta não terminou
🏠,house,casa,casa
🏡,house with garden,casa con jardín,casa com jardim
🏘️,houses,casas,casas
🏘,houses,casas,casas
💯,hundred points,cien puntos,centenas de pontos
😯,hushed face,cara de silencio,rosto silenciado
🛖,hut,cabaña,cabana
🪻,hyacinth,jacinto,jacinto
🧊,ice,hielo,gelo
🍨,ice cream,helado,sorvete
🏒,ice hockey,hockey sobre hielo,Hóquei no gelo
⛸️,ice skate,patinaje sobre hielo,patins de gelo
⛸,ice skate,patinaje sobre hielo,patins de gelo
🪪,identification card,tarjeta de identificación,cartão de identificação
📥,inbox tray,bandeja de entrada,Bandeja da caixa de entrada
📨,incoming envelope,sobre entrante,envelope de entrada
🫵,index pointing at the viewer,índice apuntando al espectador,índice apontando para o espectador
🫵🏿,index pointing at the viewer dark skin tone,índice apuntando al espectador tono de piel oscura,Índice apontando para o espectador Tom de pele escura
🫵🏻,index pointing at the viewer light skin tone,índice apuntando al tono de piel claro del espectador,Índice apontando para o tom de pele clara do espectador
🫵🏾,index pointing at the viewer medium-dark skin tone,índice apuntando al tono de piel medio-oscuridad del espectador,Índice apontando para o visualizador de tom de pele média-escuro
🫵🏼,index pointing at the viewer medium-light skin tone,índice apuntando al espectador tono de piel de luz media,Índice apontando para o visualizador Tom de pele de luz média
🫵🏽,index pointing at the viewer medium skin tone,índice apuntando al tono de piel mediana del espectador,Índice apontando para o visualizador de tom de pele média
☝️,index pointing up,índice apuntando hacia arriba,índice apontando para cima
☝,index pointing up,índice apuntando hacia arriba,índice apontando para cima
☝🏿,index pointing up dark skin tone,índice apuntando al tono de piel oscura,índice apontando para cima do tom escuro
☝🏻,index pointing up light skin tone,índice apuntando al tono de piel clara,Índice apontando para cima do tom da pele clara
☝🏾,index pointing up medium-dark skin tone,índice apuntando al tono de piel medio-oscuridad,Índice apontando para cima do tom de pele média-escuro
☝🏼,index pointing up medium-light skin tone,índice apuntando al tono de piel de luz media,índice apontando para cima do tom de pele de luz média
☝🏽,index pointing up medium skin tone,índice apuntando al tono de piel mediana,Índice apontando para cima do tom de pele média
♾️,infinity,infinidad,infinidade
♾,infinity,infinidad,infinidade
ℹ️,information,información,Informação
ℹ,information,información,Informação
🔤,input latin letters,Entrada de letras latinas,Entrar letras latinas
🔡,input latin lowercase,Entrada en minúsculas latinas,Entrada em minúsculas latinas
🔠,input latin uppercase,entrada latina en mayúsculas,Entrada em latim em maiúsculas
🔢,input numbers,números de entrada,números de entrada
🔣,input symbols,símbolos de entrada,símbolos de entrada
🎃,jack-o-lantern,jack-o-lantern,Jack-O-Lantern
🫙,jar,frasco,jarra
👖,jeans,vaqueros,jeans
🪼,jellyfish,medusa,medusa
🃏,joker,bromista,palhaço
🕹️,joystick,palanca de mando,joystick
🕹,joystick,palanca de mando,joystick
🧑‍⚖️,judge,juez,juiz
🧑‍⚖,judge,juez,juiz
🧑🏿‍⚖️,judge dark skin tone,juzga el tono de piel oscura,Juiz Tom da pele escura
🧑🏿‍⚖,judge dark skin tone,juzga el tono de piel oscura,Juiz Tom da pele escura
🧑🏻‍⚖️,judge light skin tone,juzga el tono de piel clara,Juiz Tom de pele leve
🧑🏻‍⚖,judge light skin tone,juzga el tono de piel clara,Juiz Tom de pele leve
🧑🏾‍⚖️,judge medium-dark skin tone,juzga el tono de piel de la oscuridad mediana,Juiz Tom de pele de médio escuro
🧑🏾‍⚖,judge medium-dark skin tone,juzga el tono de piel de la oscuridad mediana,Juiz Tom de pele de médio escuro
🧑🏼‍⚖️,judge medium-light skin tone,juzgar tono de piel de luz media,julgar o tom de pele de luz média
🧑🏼‍⚖,judge medium-light skin tone,juzgar tono de piel de luz media,julgar o tom de pele de luz média
🧑🏽‍⚖️,judge medium skin tone,juzga el tono de piel mediana,Juiz Tom de pele média
🧑🏽‍⚖,judge medium skin tone,juzga el tono de piel mediana,Juiz Tom de pele média
🕋,kaaba,kaaba,Kaaba
🦘,kangaroo,canguro,canguru
🔑,key,llave,chave
⌨️,keyboard,teclado,teclado
⌨,keyboard,teclado,teclado
#️⃣,keycap #,KeyCap #,KeyCap #
#⃣,keycap #,KeyCap #,KeyCap #
*️⃣,keycap *,keycap *,keycap *
*⃣,keycap *,keycap *,keycap *
0️⃣,keycap 0,keycap 0,KeyCap 0
0⃣,keycap 0,keycap 0,KeyCap 0
1️⃣,keycap 1,keycap 1,KeyCap 1
1⃣,keycap 1,keycap 1,KeyCap 1
🔟,keycap 10,keycap 10,KeyCap 10
2️⃣,keycap 2,KeyCap 2,KeyCap 2
2⃣,keycap 2,KeyCap 2,KeyCap 2
3️⃣,keycap 3,keycap 3,KeyCap 3
3⃣,keycap 3,keycap 3,KeyCap 3
4️⃣,keycap 4,keycap 4,KeyCap 4
4⃣,keycap 4,keycap 4,KeyCap 4
5️⃣,keycap 5,KeyCap 5,KeyCap 5
5⃣,keycap 5,KeyCap 5,KeyCap 5
6️⃣,keycap 6,keycap 6,KeyCap 6
6⃣,keycap 6,keycap 6,KeyCap 6
7️⃣,keycap 7,keycap 7,KeyCap 7
7⃣,keycap 7,keycap 7,KeyCap 7
8️⃣,keycap 8,keycap 8,KeyCap 8
8⃣,keycap 8,keycap 8,KeyCap 8
9️⃣,keycap 9,keycap 9,KeyCap 9
9⃣,keycap 9,keycap 9,KeyCap 9
🪯,khanda,khanda,Khanda
🛴,kick scooter,scooter,Scooter de chute
👘,kimono,kimono,quimono
💏,kiss,beso,beijo
💏🏿,kiss dark skin tone,beso tono de piel oscura,beijo de tom escuro de pele
💏🏻,kiss light skin tone,besar tono de piel ligera,beijo de tom leve de pele
👨‍❤️‍💋‍👨,kiss man man,besar hombre hombre,beijo homem homem
👨‍❤‍💋‍👨,kiss man man,besar hombre hombre,beijo homem homem
👨🏿‍❤️‍💋‍👨🏿,kiss man man dark skin tone,Kiss Man Man Tono de piel oscura,Beijo Man Man Tom de pele escura
👨🏿‍❤‍💋‍👨🏿,kiss man man dark skin tone,Kiss Man Man Tono de piel oscura,Beijo Man Man Tom de pele escura
👨🏿‍❤️‍💋‍👨🏻,kiss man man dark skin tone light skin tone,Kiss Man Man Dark Skin Tono de piel clara Tono,beijo homem homem tom de pele escura de pele clara
👨🏿‍❤‍💋‍👨🏻,kiss man man dark skin tone light skin tone,Kiss Man Man Dark Skin Tono de piel clara Tono,beijo homem homem tom de pele escura de pele clara
👨🏿‍❤️‍💋‍👨🏾,kiss man man dark skin tone medium-dark skin tone,Kiss Man Man Dark Skin Tono de piel medio-oscuridad,beijo homem homem tom de pele escura do tom médio escuro
👨🏿‍❤‍💋‍👨🏾,kiss man man dark skin tone medium-dark skin tone,Kiss Man Man Dark Skin Tono de piel medio-oscuridad,beijo homem homem tom de pele escura do tom médio escuro
👨🏿‍❤️‍💋‍👨🏼,kiss man man dark skin tone medium-light skin tone,Kiss Man Man Dark Skin Tono de piel de luz media,beijo homem homem tom de pele escura de pele de luz média
👨🏿‍❤‍💋‍👨🏼,kiss man man dark skin tone medium-light skin tone,Kiss Man Man Dark Skin Tono de piel de luz media,beijo homem homem tom de pele escura de pele de luz média
👨🏿‍❤️‍💋‍👨🏽,kiss man man dark skin tone medium skin tone,Kiss Man Man Dark Skin Tono de piel mediana Tono,beijo homem homem tom de pele escura tom de pele média
👨🏿‍❤‍💋‍👨🏽,kiss man man dark skin tone medium skin tone,Kiss Man Man Dark Skin Tono de piel mediana Tono,beijo homem homem tom de pele escura tom de pele média
👨🏻‍❤️‍💋‍👨🏻,kiss man man light skin tone,Kiss Man Man Tono de piel claro,beijo homem homem tom de pele leve
👨🏻‍❤‍💋‍👨🏻,kiss man man light skin tone,Kiss Man Man Tono de piel claro,beijo homem homem tom de pele leve
👨🏻‍❤️‍💋‍👨🏿,kiss man man light skin tone dark skin tone,Kiss Man Man Light Skin Tono de piel oscura Tono,beijo homem homem tom de pele clara tom de pele escura
👨🏻‍❤‍💋‍👨🏿,kiss man man light skin tone dark skin tone,Kiss Man Man Light Skin Tono de piel oscura Tono,beijo homem homem tom de pele clara tom de pele escura
👨🏻‍❤️‍💋‍👨🏾,kiss man man light skin tone medium-dark skin tone,Kiss Man Man Light Skin Tono de piel medio-oscuridad Tono,beijo homem homem tom de pele clara tom de pele média escura
👨🏻‍❤‍💋‍👨🏾,kiss man man light skin tone medium-dark skin tone,Kiss Man Man Light Skin Tono de piel medio-oscuridad Tono,beijo homem homem tom de pele clara tom de pele média escura
👨🏻‍❤️‍💋‍👨🏼,kiss man man light skin tone medium-light skin tone,Kiss Man Man Light Skin Tono de piel de luz media,beijo homem homem tom de pele leve leve luz de luz média
👨🏻‍❤‍💋‍👨🏼,kiss man man light skin tone medium-light skin tone,Kiss Man Man Light Skin Tono de piel de luz media,beijo homem homem tom de pele leve leve luz de luz média
👨🏻‍❤️‍💋‍👨🏽,kiss man man light skin tone medium skin tone,Kiss Man Man Light Skin Tono de piel mediana Tono,beijo homem homem tom de pele leve tom de pele média
👨🏻‍❤‍💋‍👨🏽,kiss man man light skin tone medium skin tone,Kiss Man Man Light Skin Tono de piel mediana Tono,beijo homem homem tom de pele leve tom de pele média
👨🏾‍❤️‍💋‍👨🏾,kiss man man medium-dark skin tone,Kiss Man Man Tono de piel medio-oscuridad,beijo homem homem tom de pele média escura
👨🏾‍❤‍💋‍👨🏾,kiss man man medium-dark skin tone,Kiss Man Man Tono de piel medio-oscuridad,beijo homem homem tom de pele média escura
👨🏾‍❤️‍💋‍👨🏿,kiss man man medium-dark skin tone dark skin tone,Kiss Man Man Medium Dark Skin Tono de piel oscura Tono,beijo homem homem tom de pele média escura de pele escura
👨🏾‍❤‍💋‍👨🏿,kiss man man medium-dark skin tone dark skin tone,Kiss Man Man Medium Dark Skin Tono de piel oscura Tono,beijo homem homem tom de pele média escura de pele escura
👨🏾‍❤️‍💋‍👨🏻,kiss man man medium-dark skin tone light skin tone,Kiss Man Man Medium Dark Skin Tono de la luz de la luz,beijo homem homem tom de pele de pele média-escura
👨🏾‍❤‍💋‍👨🏻,kiss man man medium-dark skin tone light skin tone,Kiss Man Man Medium Dark Skin Tono de la luz de la luz,beijo homem homem tom de pele de pele média-escura
👨🏾‍❤️‍💋‍👨🏼,kiss man man medium-dark skin tone medium-light skin tone,Kiss Man Man Medium Dark Skin Tono de piel de luz media,beijo homem homem tom de pele média-escuro tom de pele média
👨🏾‍❤‍💋‍👨🏼,kiss man man medium-dark skin tone medium-light skin tone,Kiss Man Man Medium Dark Skin Tono de piel de luz media,beijo homem homem tom de pele média-escuro tom de pele média
👨🏾‍❤️‍💋‍👨🏽,kiss man man medium-dark skin tone medium skin tone,Kiss Man Man Medium-Dark Skin Tono de piel mediana,beijo homem homem tom de pele média escuro
👨🏾‍❤‍💋‍👨🏽,kiss man man medium-dark skin tone medium skin tone,Kiss Man Man Medium-Dark Skin Tono de piel mediana,beijo homem homem tom de pele média escuro
👨🏼‍❤️‍💋‍👨🏼,kiss man man medium-light skin tone,Kiss Man Man Tono de piel de luz media,beijo homem homem tom de pele de luz média
👨🏼‍❤‍💋‍👨🏼,kiss man man medium-light skin tone,Kiss Man Man Tono de piel de luz media,beijo homem homem tom de pele de luz média
👨🏼‍❤️‍💋‍👨🏿,kiss man man medium-light skin tone dark skin tone,Kiss Man Man Tono de piel de luz mediana de la piel oscura Tono,beijo homem homem tonveiro de pele média-luz do tom escuro
👨🏼‍❤‍💋‍👨🏿,kiss man man medium-light skin tone dark skin tone,Kiss Man Man Tono de piel de luz mediana de la piel oscura Tono,beijo homem homem tonveiro de pele média-luz do tom escuro
👨🏼‍❤️‍💋‍👨🏻,kiss man man medium-light skin tone light skin tone,Kiss Man Man Tono de piel de piel mediana de la luz tono de piel,beijo homem homem homem luz de luz média tom de pele leve
👨🏼‍❤‍💋‍👨🏻,kiss man man medium-light skin tone light skin tone,Kiss Man Man Tono de piel de piel mediana de la luz tono de piel,beijo homem homem homem luz de luz média tom de pele leve
👨🏼‍❤️‍💋‍👨🏾,kiss man man medium-light skin tone medium-dark skin tone,Kiss Man Man Tono de piel de luz medio-luz-luz-oscuridad Tono,beijo homem homem tom de pele de luz média-luz do tom médio-escuro
👨🏼‍❤‍💋‍👨🏾,kiss man man medium-light skin tone medium-dark skin tone,Kiss Man Man Tono de piel de luz medio-luz-luz-oscuridad Tono,beijo homem homem tom de pele de luz média-luz do tom médio-escuro
👨🏼‍❤️‍💋‍👨🏽,kiss man man medium-light skin tone medium skin tone,Kiss Man Man Tono de piel de luz mediana tono de piel mediana,beijo homem homem tom de pele de luz média tom de pele média
👨🏼‍❤‍💋‍👨🏽,kiss man man medium-light skin tone medium skin tone,Kiss Man Man Tono de piel de luz mediana tono de piel mediana,beijo homem homem tom de pele de luz média tom de pele média
👨🏽‍❤️‍💋‍👨🏽,kiss man man medium skin tone,Kiss Man Man Tono de piel mediana,beijo homem homem tom de pele média
👨🏽‍❤‍💋‍👨🏽,kiss man man medium skin tone,Kiss Man Man Tono de piel mediana,beijo homem homem tom de pele média
👨🏽‍❤️‍💋‍👨🏿,kiss man man medium skin tone dark skin tone,Kiss Man Man Tono de piel mediana de piel oscura Tono,beijo homem homem tom de pele média tom de pele escura
👨🏽‍❤‍💋‍👨🏿,kiss man man medium skin tone dark skin tone,Kiss Man Man Tono de piel mediana de piel oscura Tono,beijo homem homem tom de pele média tom de pele escura
👨🏽‍❤️‍💋‍👨🏻,kiss man man medium skin tone light skin tone,Kiss Man Man Tono de piel de piel mediana Tono de piel claro,beijo homem homem tom de pele média tom de pele leve
👨🏽‍❤‍💋‍👨🏻,kiss man man medium skin tone light skin tone,Kiss Man Man Tono de piel de piel mediana Tono de piel claro,beijo homem homem tom de pele média tom de pele leve
👨🏽‍❤️‍💋‍👨🏾,kiss man man medium skin tone medium-dark skin tone,Kiss Man Man Tono de piel mediana de piel mediana tono de piel oscuro,beijo homem homem tom de pele média tom de pele média escura
👨🏽‍❤‍💋‍👨🏾,kiss man man medium skin tone medium-dark skin tone,Kiss Man Man Tono de piel mediana de piel mediana tono de piel oscuro,beijo homem homem tom de pele média tom de pele média escura
👨🏽‍❤️‍💋‍👨🏼,kiss man man medium skin tone medium-light skin tone,Kiss Man Man Tono de piel mediana de la piel mediana tono de piel,beijo homem homem tom de pele média tom de pele média
👨🏽‍❤‍💋‍👨🏼,kiss man man medium skin tone medium-light skin tone,Kiss Man Man Tono de piel mediana de la piel mediana tono de piel,beijo homem homem tom de pele média tom de pele média
💋,kiss mark,besar a Mark,beijo Mark
💏🏾,kiss medium-dark skin tone,Kiss Tono de piel mediano y oscuridad,Tom de pele de beijo médio-escuro
💏🏼,kiss medium-light skin tone,beso tono de piel de luz media,Tom de pele de beijo de luz média
💏🏽,kiss medium skin tone,besar tono de piel mediana,beijo de tom de pele média
🧑🏿‍❤️‍💋‍🧑🏻,kiss person person dark skin tone light skin tone,beso persona persona tono de piel oscura tono de piel claro,beijo pessoa pessoa de pele escura tom de pele clara
🧑🏿‍❤‍💋‍🧑🏻,kiss person person dark skin tone light skin tone,beso persona persona tono de piel oscura tono de piel claro,beijo pessoa pessoa de pele escura tom de pele clara
🧑🏿‍❤️‍💋‍🧑🏾,kiss person person dark skin tone medium-dark skin tone,beso persona persona tono de piel oscura tono de piel medio oscuro,beijo pessoa pessoa de pele escura tom de pele média escura
🧑🏿‍❤‍💋‍🧑🏾,kiss person person dark skin tone medium-dark skin tone,beso persona persona tono de piel oscura tono de piel medio oscuro,beijo pessoa pessoa de pele escura tom de pele média escura
🧑🏿‍❤️‍💋‍🧑🏼,kiss person person dark skin tone medium-light skin tone,beso persona persona tono de piel oscura tono de piel de luz media,beijo pessoa pessoa de pele escura tom de pele média
🧑🏿‍❤‍💋‍🧑🏼,kiss person person dark skin tone medium-light skin tone,beso persona persona tono de piel oscura tono de piel de luz media,beijo pessoa pessoa de pele escura tom de pele média
🧑🏿‍❤️‍💋‍🧑🏽,kiss person person dark skin tone medium skin tone,beso persona persona tono de piel oscura tono de piel mediana,beijo pessoa pessoa de pele escura tom de pele média
🧑🏿‍❤‍💋‍🧑🏽,kiss person person dark skin tone medium skin tone,beso persona persona tono de piel oscura tono de piel mediana,beijo pessoa pessoa de pele escura tom de pele média
🧑🏻‍❤️‍💋‍🧑🏿,kiss person person light skin tone dark skin tone,beso persona persona tono de piel claro tono de piel oscura,beijo pessoa pessoa de pele leve tom de pele escura
🧑🏻‍❤‍💋‍🧑🏿,kiss person person light skin tone dark skin tone,beso persona persona tono de piel claro tono de piel oscura,beijo pessoa pessoa de pele leve tom de pele escura
